"","Source","Package","Require","Version","Dev"
"1","C:/Users/plevy/Documents/beem-sta210/ae/ae-0-movies.qmd","DT","","",FALSE
"2","C:/Users/plevy/Documents/beem-sta210/ae/ae-0-movies.qmd","scales","","",FALSE
"3","C:/Users/plevy/Documents/beem-sta210/ae/ae-0-movies.qmd","tidyverse","","",FALSE
"4","C:/Users/plevy/Documents/beem-sta210/ae/ae-0-movies.qmd","rmarkdown","","",FALSE
"5","C:/Users/plevy/Documents/beem-sta210/ae/ae-1-dcbikeshare.qmd","patchwork","","",FALSE
"6","C:/Users/plevy/Documents/beem-sta210/ae/ae-1-dcbikeshare.qmd","tidymodels","","",FALSE
"7","C:/Users/plevy/Documents/beem-sta210/ae/ae-1-dcbikeshare.qmd","tidyverse","","",FALSE
"8","C:/Users/plevy/Documents/beem-sta210/ae/ae-1-dcbikeshare.qmd","rmarkdown","","",FALSE
"9","C:/Users/plevy/Documents/beem-sta210/ae/ae-10-flight-delays.qmd","knitr","","",FALSE
"10","C:/Users/plevy/Documents/beem-sta210/ae/ae-10-flight-delays.qmd","tidymodels","","",FALSE
"11","C:/Users/plevy/Documents/beem-sta210/ae/ae-10-flight-delays.qmd","tidyverse","","",FALSE
"12","C:/Users/plevy/Documents/beem-sta210/ae/ae-10-flight-delays.qmd","stats","","",FALSE
"13","C:/Users/plevy/Documents/beem-sta210/ae/ae-10-flight-delays.qmd","rmarkdown","","",FALSE
"14","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","colorblindr","","",FALSE
"15","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","knitr","","",FALSE
"16","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","tidymodels","","",FALSE
"17","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","tidyverse","","",FALSE
"18","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","here","","",FALSE
"19","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","nnet","","",FALSE
"20","C:/Users/plevy/Documents/beem-sta210/ae/ae-11-volcanoes.qmd","rmarkdown","","",FALSE
"21","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","knitr","","",FALSE
"22","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","nnet","","",FALSE
"23","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","rms","","",FALSE
"24","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","Stat2Data","","",FALSE
"25","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","tidymodels","","",FALSE
"26","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","tidyverse","","",FALSE
"27","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","here","","",FALSE
"28","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","stats","","",FALSE
"29","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","stats","","",FALSE
"30","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","nnet","","",FALSE
"31","C:/Users/plevy/Documents/beem-sta210/ae/ae-12-exam-3-review.qmd","rmarkdown","","",FALSE
"32","C:/Users/plevy/Documents/beem-sta210/ae/ae-2-dcbikeshare.qmd","patchwork","","",FALSE
"33","C:/Users/plevy/Documents/beem-sta210/ae/ae-2-dcbikeshare.qmd","tidymodels","","",FALSE
"34","C:/Users/plevy/Documents/beem-sta210/ae/ae-2-dcbikeshare.qmd","tidyverse","","",FALSE
"35","C:/Users/plevy/Documents/beem-sta210/ae/ae-2-dcbikeshare.qmd","rmarkdown","","",FALSE
"36","C:/Users/plevy/Documents/beem-sta210/ae/ae-3-duke-forest.qmd","knitr","","",FALSE
"37","C:/Users/plevy/Documents/beem-sta210/ae/ae-3-duke-forest.qmd","openintro","","",FALSE
"38","C:/Users/plevy/Documents/beem-sta210/ae/ae-3-duke-forest.qmd","tidymodels","","",FALSE
"39","C:/Users/plevy/Documents/beem-sta210/ae/ae-3-duke-forest.qmd","tidyverse","","",FALSE
"40","C:/Users/plevy/Documents/beem-sta210/ae/ae-3-duke-forest.qmd","rmarkdown","","",FALSE
"41","C:/Users/plevy/Documents/beem-sta210/ae/ae-4-exam-1-review.qmd","ggfortify","","",FALSE
"42","C:/Users/plevy/Documents/beem-sta210/ae/ae-4-exam-1-review.qmd","knitr","","",FALSE
"43","C:/Users/plevy/Documents/beem-sta210/ae/ae-4-exam-1-review.qmd","tidymodels","","",FALSE
"44","C:/Users/plevy/Documents/beem-sta210/ae/ae-4-exam-1-review.qmd","tidyverse","","",FALSE
"45","C:/Users/plevy/Documents/beem-sta210/ae/ae-4-exam-1-review.qmd","rmarkdown","","",FALSE
"46","C:/Users/plevy/Documents/beem-sta210/ae/ae-5-the-office.qmd","gghighlight","","",FALSE
"47","C:/Users/plevy/Documents/beem-sta210/ae/ae-5-the-office.qmd","knitr","","",FALSE
"48","C:/Users/plevy/Documents/beem-sta210/ae/ae-5-the-office.qmd","tidymodels","","",FALSE
"49","C:/Users/plevy/Documents/beem-sta210/ae/ae-5-the-office.qmd","tidyverse","","",FALSE
"50","C:/Users/plevy/Documents/beem-sta210/ae/ae-5-the-office.qmd","rmarkdown","","",FALSE
"51","C:/Users/plevy/Documents/beem-sta210/ae/ae-6-the-office-cv.qmd","knitr","","",FALSE
"52","C:/Users/plevy/Documents/beem-sta210/ae/ae-6-the-office-cv.qmd","tidymodels","","",FALSE
"53","C:/Users/plevy/Documents/beem-sta210/ae/ae-6-the-office-cv.qmd","tidyverse","","",FALSE
"54","C:/Users/plevy/Documents/beem-sta210/ae/ae-6-the-office-cv.qmd","rmarkdown","","",FALSE
"55","C:/Users/plevy/Documents/beem-sta210/ae/ae-7-exam-2-review.qmd","knitr","","",FALSE
"56","C:/Users/plevy/Documents/beem-sta210/ae/ae-7-exam-2-review.qmd","openintro","","",FALSE
"57","C:/Users/plevy/Documents/beem-sta210/ae/ae-7-exam-2-review.qmd","tidymodels","","",FALSE
"58","C:/Users/plevy/Documents/beem-sta210/ae/ae-7-exam-2-review.qmd","tidyverse","","",FALSE
"59","C:/Users/plevy/Documents/beem-sta210/ae/ae-7-exam-2-review.qmd","rmarkdown","","",FALSE
"60","C:/Users/plevy/Documents/beem-sta210/ae/ae-8-rail-trail.qmd","tidymodels","","",FALSE
"61","C:/Users/plevy/Documents/beem-sta210/ae/ae-8-rail-trail.qmd","tidyverse","","",FALSE
"62","C:/Users/plevy/Documents/beem-sta210/ae/ae-8-rail-trail.qmd","rmarkdown","","",FALSE
"63","C:/Users/plevy/Documents/beem-sta210/ae/ae-9-odds.qmd","here","","",FALSE
"64","C:/Users/plevy/Documents/beem-sta210/ae/ae-9-odds.qmd","knitr","","",FALSE
"65","C:/Users/plevy/Documents/beem-sta210/ae/ae-9-odds.qmd","tidymodels","","",FALSE
"66","C:/Users/plevy/Documents/beem-sta210/ae/ae-9-odds.qmd","tidyverse","","",FALSE
"67","C:/Users/plevy/Documents/beem-sta210/ae/ae-9-odds.qmd","stats","","",FALSE
"68","C:/Users/plevy/Documents/beem-sta210/ae/ae-9-odds.qmd","rmarkdown","","",FALSE
"69","C:/Users/plevy/Documents/beem-sta210/ae/data/data-prep.R","lubridate","","",FALSE
"70","C:/Users/plevy/Documents/beem-sta210/ae/data/data-prep.R","nycflights13","","",FALSE
"71","C:/Users/plevy/Documents/beem-sta210/ae/data/data-prep.R","tidymodels","","",FALSE
"72","C:/Users/plevy/Documents/beem-sta210/ae/data/data-prep.R","tidyverse","","",FALSE
"73","C:/Users/plevy/Documents/beem-sta210/computing-pipelines.qmd","knitr","","",FALSE
"74","C:/Users/plevy/Documents/beem-sta210/computing-pipelines.qmd","palmerpenguins","","",FALSE
"75","C:/Users/plevy/Documents/beem-sta210/computing-pipelines.qmd","tidymodels","","",FALSE
"76","C:/Users/plevy/Documents/beem-sta210/computing-pipelines.qmd","tidyverse","","",FALSE
"77","C:/Users/plevy/Documents/beem-sta210/computing-pipelines.qmd","rmarkdown","","",FALSE
"78","C:/Users/plevy/Documents/beem-sta210/hw/hw-1.qmd","knitr","","",FALSE
"79","C:/Users/plevy/Documents/beem-sta210/hw/hw-1.qmd","scales","","",FALSE
"80","C:/Users/plevy/Documents/beem-sta210/hw/hw-1.qmd","tidymodels","","",FALSE
"81","C:/Users/plevy/Documents/beem-sta210/hw/hw-1.qmd","tidyverse","","",FALSE
"82","C:/Users/plevy/Documents/beem-sta210/hw/hw-1.qmd","rmarkdown","","",FALSE
"83","C:/Users/plevy/Documents/beem-sta210/hw/hw-2.qmd","knitr","","",FALSE
"84","C:/Users/plevy/Documents/beem-sta210/hw/hw-2.qmd","palmerpenguins","","",FALSE
"85","C:/Users/plevy/Documents/beem-sta210/hw/hw-2.qmd","tidymodels","","",FALSE
"86","C:/Users/plevy/Documents/beem-sta210/hw/hw-2.qmd","tidyverse","","",FALSE
"87","C:/Users/plevy/Documents/beem-sta210/hw/hw-2.qmd","rmarkdown","","",FALSE
"88","C:/Users/plevy/Documents/beem-sta210/hw/hw-3.qmd","knitr","","",FALSE
"89","C:/Users/plevy/Documents/beem-sta210/hw/hw-3.qmd","palmerpenguins","","",FALSE
"90","C:/Users/plevy/Documents/beem-sta210/hw/hw-3.qmd","tidymodels","","",FALSE
"91","C:/Users/plevy/Documents/beem-sta210/hw/hw-3.qmd","tidyverse","","",FALSE
"92","C:/Users/plevy/Documents/beem-sta210/hw/hw-3.qmd","here","","",FALSE
"93","C:/Users/plevy/Documents/beem-sta210/hw/hw-3.qmd","rmarkdown","","",FALSE
"94","C:/Users/plevy/Documents/beem-sta210/hw/hw-4.qmd","knitr","","",FALSE
"95","C:/Users/plevy/Documents/beem-sta210/hw/hw-4.qmd","patchwork","","",FALSE
"96","C:/Users/plevy/Documents/beem-sta210/hw/hw-4.qmd","tidymodels","","",FALSE
"97","C:/Users/plevy/Documents/beem-sta210/hw/hw-4.qmd","tidyverse","","",FALSE
"98","C:/Users/plevy/Documents/beem-sta210/hw/hw-4.qmd","here","","",FALSE
"99","C:/Users/plevy/Documents/beem-sta210/hw/hw-4.qmd","rmarkdown","","",FALSE
"100","C:/Users/plevy/Documents/beem-sta210/index.qmd","knitr","","",FALSE
"101","C:/Users/plevy/Documents/beem-sta210/index.qmd","rmarkdown","","",FALSE
"102","C:/Users/plevy/Documents/beem-sta210/labs/lab-1.qmd","tidyverse","","",FALSE
"103","C:/Users/plevy/Documents/beem-sta210/labs/lab-1.qmd","rmarkdown","","",FALSE
"104","C:/Users/plevy/Documents/beem-sta210/labs/lab-2.qmd","knitr","","",FALSE
"105","C:/Users/plevy/Documents/beem-sta210/labs/lab-2.qmd","tidymodels","","",FALSE
